date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
24/10/2025,SP du Pays de Charleroi A,R.SC.Anderlecht A,1,0,1465.06,1546.93,0.3843,0.6157,1.0,0.0,1.0,1483.53,1528.46
25/10/2025,K.VC.Westerlo A,FC.V.Dender E.H.,1,1,1497.71,1369.75,0.6763,0.3237,0.5,0.5,1.0,1492.42,1375.04
25/10/2025,Yellow-Red KV.Mechelen A,Oud-Heverlee Leuven A,1,1,1533.91,1401.81,0.6814,0.3186,0.5,0.5,1.0,1528.46,1407.26
25/10/2025,K.AA.Gent A,R.Standard de Liège A,4,0,1512.54,1485.54,0.5388,0.4612,1.0,0.0,1.875,1538.48,1459.59
26/10/2025,R.Antwerp F.C. A,Club Brugge KV. A,0,1,1452.23,1579.03,0.3252,0.6748,0.0,1.0,1.0,1442.47,1588.78
26/10/2025,Cercle Brugge K.SV. A,SV.Zulte Waregem A,1,1,1476.76,1540.82,0.4088,0.5912,0.5,0.5,1.0,1479.49,1538.08
26/10/2025,K.RC.Genk A,RAAL La Louviere A,1,1,1503.06,1486.04,0.5245,0.4755,0.5,0.5,1.0,1502.33,1486.78
26/10/2025,R.Union St.-Gilloise A,K.St.-Truidense VV. A,2,0,1621.53,1527.29,0.6324,0.3676,1.0,0.0,1.625,1639.45,1509.37
31/10/2025,R.Standard de Liège A,SP du Pays de Charleroi A,3,1,1459.59,1483.53,0.4656,0.5344,1.0,0.0,1.625,1485.65,1457.48
01/11/2025,SV.Zulte Waregem A,R.Union St.-Gilloise A,1,4,1538.08,1639.45,0.3581,0.6419,0.0,1.0,1.75,1519.28,1658.25
01/11/2025,Club Brugge KV. A,FC.V.Dender E.H.,2,1,1588.78,1375.04,0.7739,0.2261,1.0,0.0,1.0,1595.57,1368.25
01/11/2025,R.SC.Anderlecht A,Yellow-Red KV.Mechelen A,3,1,1528.46,1528.46,0.5,0.5,1.0,0.0,1.625,1552.84,1504.09
02/11/2025,RAAL La Louviere A,Cercle Brugge K.SV. A,2,1,1486.78,1479.49,0.5105,0.4895,1.0,0.0,1.0,1501.46,1464.81
02/11/2025,K.St.-Truidense VV. A,R.Antwerp F.C. A,1,0,1509.37,1442.47,0.5951,0.4049,1.0,0.0,1.0,1521.51,1430.33
02/11/2025,Oud-Heverlee Leuven A,K.AA.Gent A,4,0,1407.26,1538.48,0.3196,0.6804,1.0,0.0,1.875,1445.53,1500.21
02/11/2025,K.VC.Westerlo A,K.RC.Genk A,0,1,1492.42,1502.33,0.4858,0.5142,0.0,1.0,1.0,1477.85,1516.9
07/11/2025,FC.V.Dender E.H.,SV.Zulte Waregem A,2,2,1368.25,1519.28,0.2954,0.7046,0.5,0.5,1.0,1374.39,1513.14
08/11/2025,Cercle Brugge K.SV. A,Oud-Heverlee Leuven A,1,2,1464.81,1445.53,0.5277,0.4723,0.0,1.0,1.0,1448.97,1461.36
08/11/2025,SP du Pays de Charleroi A,K.VC.Westerlo A,2,0,1457.48,1477.85,0.4707,0.5293,1.0,0.0,1.625,1483.28,1452.05
08/11/2025,R.Antwerp F.C. A,RAAL La Louviere A,3,1,1430.33,1501.46,0.399,0.601,1.0,0.0,1.625,1459.62,1472.16
09/11/2025,R.SC.Anderlecht A,Club Brugge KV. A,1,0,1552.84,1595.57,0.4388,0.5612,1.0,0.0,1.0,1569.67,1578.73
09/11/2025,K.St.-Truidense VV. A,R.Standard de Liège A,1,0,1521.51,1485.65,0.5514,0.4486,1.0,0.0,1.0,1534.97,1472.19
09/11/2025,K.AA.Gent A,K.RC.Genk A,1,1,1500.21,1516.9,0.476,0.524,0.5,0.5,1.0,1500.93,1516.18
09/11/2025,Yellow-Red KV.Mechelen A,R.Union St.-Gilloise A,1,1,1504.09,1658.25,0.2916,0.7084,0.5,0.5,1.0,1510.34,1652.0
21/11/2025,R.Standard de Liège A,SV.Zulte Waregem A,0,0,1472.19,1513.14,0.4413,0.5587,0.5,0.5,1.0,1473.95,1511.38
22/11/2025,K.VC.Westerlo A,K.AA.Gent A,0,0,1452.05,1500.93,0.4301,0.5699,0.5,0.5,1.0,1454.15,1498.84
22/11/2025,Club Brugge KV. A,SP du Pays de Charleroi A,1,0,1578.73,1483.28,0.634,0.366,1.0,0.0,1.0,1589.71,1472.3
22/11/2025,R.Union St.-Gilloise A,Cercle Brugge K.SV. A,2,0,1652.0,1448.97,0.7629,0.2371,1.0,0.0,1.625,1663.56,1437.42
23/11/2025,RAAL La Louviere A,R.SC.Anderlecht A,0,1,1472.16,1569.67,0.3632,0.6368,0.0,1.0,1.0,1461.27,1580.57
23/11/2025,Oud-Heverlee Leuven A,K.St.-Truidense VV. A,1,2,1461.36,1534.97,0.3956,0.6044,0.0,1.0,1.0,1449.49,1546.84
23/11/2025,K.RC.Genk A,Yellow-Red KV.Mechelen A,0,1,1516.18,1510.34,0.5084,0.4916,0.0,1.0,1.0,1500.93,1525.59
23/11/2025,R.Antwerp F.C. A,FC.V.Dender E.H.,1,2,1459.62,1374.39,0.6203,0.3797,0.0,1.0,1.0,1441.02,1393.0
28/11/2025,Yellow-Red KV.Mechelen A,R.Standard de Liège A,0,1,1525.59,1473.95,0.5738,0.4262,0.0,1.0,1.0,1508.38,1491.16
29/11/2025,FC.V.Dender E.H.,K.VC.Westerlo A,2,2,1393.0,1454.15,0.4129,0.5871,0.5,0.5,1.0,1395.61,1451.53
29/11/2025,SV.Zulte Waregem A,Cercle Brugge K.SV. A,1,1,1511.38,1437.42,0.6049,0.3951,0.5,0.5,1.0,1508.24,1440.56
29/11/2025,SP du Pays de Charleroi A,RAAL La Louviere A,0,0,1472.3,1461.27,0.5159,0.4841,0.5,0.5,1.0,1471.83,1461.74
30/11/2025,Club Brugge KV. A,R.Antwerp F.C. A,0,1,1589.71,1441.02,0.7018,0.2982,0.0,1.0,1.0,1568.66,1462.07
30/11/2025,K.RC.Genk A,Oud-Heverlee Leuven A,2,1,1500.93,1449.49,0.5735,0.4265,1.0,0.0,1.0,1513.72,1436.69
30/11/2025,R.SC.Anderlecht A,R.Union St.-Gilloise A,1,0,1580.57,1663.56,0.3828,0.6172,1.0,0.0,1.0,1599.09,1645.04
30/11/2025,K.AA.Gent A,K.St.-Truidense VV. A,1,2,1498.84,1546.84,0.4314,0.5686,0.0,1.0,1.0,1485.9,1559.78
05/12/2025,RAAL La Louviere A,FC.V.Dender E.H.,1,2,1461.74,1395.61,0.594,0.406,0.0,1.0,1.0,1443.92,1413.43
06/12/2025,Cercle Brugge K.SV. A,R.Standard de Liège A,1,2,1440.56,1491.16,0.4277,0.5723,0.0,1.0,1.0,1427.73,1503.99
